Ticker,Empresa,Sector,Precio,Valor Justo,Precio Max Compra,Upside Potencial,Decisión,WACC,Deuda Total,Total Cash,Deuda Neta,Market Cap,Enterprise Value,FCF,Crecimiento (g),Ke,Kd,Beta,Ultima Actualizacion
JBSS,"John B. Sanfilippo & Son, Inc.",Consumer Defensive,83.55,105.08078296779325,84.0646263742346,0.257699377232714,COMPRA FUERTE,0.058897762439283484,72985000,2400000,70585000,976433024,1047018024,28777250,0.03,0.060300000000000006,0.05,0.366,20/02/2026
GDDY,GoDaddy Inc.,Technology,88.67,166.92576535253897,133.5406122820312,0.8825506411699444,COMPRA FUERTE,0.07928845050545237,3871399936,983000000,2888399936,12276275200,15164675136,1217712512,0.03,0.08865,0.05,0.933,20/02/2026
CNX,CNX Resources Corporation,Energy,40.67,98.03774133187572,78.43019306550059,1.410566543690084,COMPRA FUERTE,0.06419585450086386,2604852992,779000,2604073992,5791515648,8395589640,549840384,0.03,0.0753,0.05,0.666,20/02/2026
OLN,Olin Corporation,Basic Materials,24.28,28.811556007031058,23.04924480562485,0.1866373973241786,MANTENER/VENTA,0.07925776849138325,3139500032,167600000,2971900032,2770870784,5742770816,298649984,0.03,0.12190000000000001,0.05,1.598,20/02/2026
PBI,Pitney Bowes Inc.,Industrials,10.63,14.620249133976193,11.696199307180954,0.3753762120391526,COMPRA FUERTE,0.0762562032573681,2121191040,297119008,1824072032,1829667456,3653739488,187572752,0.03,0.1129,0.05,1.418,20/02/2026
ADT,ADT Inc.,Industrials,7.89,26.295373364807027,21.036298691845623,2.3327469410401807,COMPRA FUERTE,0.06353407906782296,7915415040,117232000,7798183040,6470436352,14268619392,908826368,0.03,0.0925,0.05,1.01,20/02/2026
EPC,Edgewell Personal Care Company,Consumer Defensive,22.17,52.133042073758176,41.70643365900654,1.3515129487486772,COMPRA FUERTE,0.054341428108760505,1553299968,223300000,1329999968,1035707136,2365707104,88987504,0.03,0.0734,0.05,0.628,20/02/2026
MATW,Matthews International Corporation,Industrials,26.37,50.04984722727828,40.039877781822625,0.8979843468819976,COMPRA FUERTE,0.07577239617613725,588646016,31357000,557289016,820794752,1378083768,93995376,0.03,0.1004,0.05,1.168,20/02/2026
CVLT,"Commvault Systems, Inc.",Technology,92.34,139.5398815604879,111.63190524839034,0.5111531466372959,COMPRA FUERTE,0.07220463758012222,919945024,1026345984,-106400960,4071673088,3965272128,247072496,0.03,0.07135,0.05,0.587,20/02/2026
INVA,"Innoviva, Inc.",Healthcare,23.64,51.37203015402575,41.097624123220605,1.1730977222515122,COMPRA FUERTE,0.06769815709401521,323230016,533102016,-209872000,1767540608,1557668608,132901248,0.03,0.06435,0.05,0.447,20/02/2026
